title,speaker,description
Как мы ускоряли поиск в модели EAV для 13500 атрибутов через ClickHouse,,МТС Web Services (MWS)
AppMetrica: миграция профилей на транзакционную запись в YDB для 500к событий в секунду,,Яндекс
Базы данных и системы хранения,,РТЛабс
"«Прощай, Oracle! Здравствуй, Scylla!» — (совсем не) квантовый переход ленты уведомлений на Госуслугах",,РТЛабс
💻 Воркшоп «Собери Postgres себе на ноуте»,,Yandex Cloud
YTsaurus Shuffle Service: как повысить надежность и производительность тяжелых Spark-приложений,,Яндекс
Неожиданные различия PostgreSQL и YDB: опыт перевоза процессинга Яндекс Такси,,Техплатформа городских сервисов Яндекса
Как прокачать иопсы вновь: новый слой хранения для Vitastor,,Личный проект
"Снапшоты своей файловой системы через LSM: с RocksDB легко, но есть нюансы",,YADRO
Бесконечность — не предел: как мы масштабируем единое хранилище Яндекса на десятки эксабайт,,Yandex Infrastructure
Миграция контента в KION: как перенести сотни ТБ без downtime,,МТС Web Services (MWS)
"2 DC 1 fail: как реализовать автоматический фейловер, когда данные в двух зонах доступности",,"VK Tech, Tarantool"
Федерация брокеров сообщений и как с ней экономить половину места,,YDB
TTL данных в Яндекс Доставке: где закончился PostgreSQL и что вместо него,,Яндекс Доставка
Перебалансировка без даунтайма в динтаблицах YTsaurus,,"Яндекс, YTsaurus"
Почему следует время от времени переписывать все компоненты СУБД с нуля,,Yandex Cloud
Как мы внедрили WebAssembly в SQL-движок динамических таблиц YTsaurus,,Яндекс
Postgres в 2025 году: можно ли больше 200K TPS?,,Скала^р (Группа Rubytech)
"Винил снова в моде, или История дискового движка в Tarantool",,"VK, VK Tech, Tarantool"
Внедрение и развитие каталога данных в МТС BigData: практический опыт,,МТС Web Services (MWS)
Data Engineering,,Сбер/МИСИС
"Кто это? Что это? Учим VLM узнавать лица, картины и достопримечательности",,Сбер/МИСИС
MLOps в супертяжелом весе: приседания c большими моделями в k8s,,Т-Банк
Онлайн-анализатор миллиона видеостримов: как положить в ClickHouse 2 млрд записей в сутки и собрать их в мультитенантную Grafana,,Erlyvideo
Платформа для создания субтитров на весь UGC в RUTUBE,,RUTUBE
Next Best Action: от просроченной задолженности к прибыли через персонализацию коммуникаций,,Газпромбанк.Тех
Как мы автоматизировали модерацию карточек товаров с помощью Computer Vision в Wildberries,,Wildberries & Russ
"GPT в службе поддержки: автоматизация, оптимизация и инновации",,Техплатформа Городских сервисов Яндекса
"Как быстро join'ить датафреймы с геоданными на Apache Sedona и при чем здесь DataSkew, деревья и RDD",,МТС Web Services (MWS)
Разработка высокопроизводительного коннектора к YTsaurus для Apache Flink,,Яндекс
Platform Engineering,,Лаборатория Числитель
💻 Воркшоп «Высшая куберматика: почему пять бинарей — это действительно просто»,,Лаборатория Числитель
Виртуальные машины как полноправные жители Kubernetes,,Флант
Test environment as a service: как приручить хаос тестовых окружений,,Lamoda Tech
Мастер-класс «Cloud from scratch: строим виртуальную сеть из подручных материалов»,,"VK Tech, VK Cloud"
Billing Platform: внедрение Temporal и переход к предметно-ориентированной микросервисной архитектуре,,AvitoTech
Эволюция разработки IDE: от перфокарт до облачных сред с ИИ,,1C
Платформа для 50000 приложений: как собрать инфраструктуру и выжить?,,Yandex Infrastructure
Безопасность высоконагруженных систем,,К2 Кибербезопасность
SSO для бедных: реализация IAM на Open Source в инфраструктуре разработки,,К2 Кибербезопасность
От хаоса к порядку: как приручить Admission Controller в Enterprise-масштабах,,Wildberries & Russ
Правовая архитектура генеративного AI,,BETOBELEGAL
Задача Икс: применяем принципы эволюции к тестированию безопасности,,YADRO
Серьезный разговор про контроль целостности в Kubernetes,,Флант
Опережаем угрозу: антивирусная защита начинается с CI/CD,,Selectel
Действительно безопасная оплата картой,,Мир Plat.Form (НСПК)
SRE и эксплуатация систем,,X5 Digital
SLA на максималках,,X5 Digital
"💻 Воркшоп: тушим инцидент, а не исполняем SRE-ритуалы",,keep-alive.ru
"Круглый стол «Мониторинг, написанный кровью»",,"Директор по развитию Штурвала, Лаборатория Числитель"
💻 Воркшоп «Postmortem. Докопаться до истины»,,Точка
Практики SRE на примере большого инцидента,,MWS Cloud Platform
Не рейт-лимитером единым: как управлять нагрузкой в микросервисной системе на практике,,Яндекс Еда
L4-балансировка и защита от DDoS-атак,,Wildberries & Russ
Когда облако дало сбой: реальный кейс борьбы за отказоустойчивость,,Yandex Cloud
"Как убедить бизнес чинить, а не только строить: прозрачная приоритизация проблем",,Купер.тех
Тестирование высоконагруженных систем,,Navio
Автоматизированное тестирование автономного транспорта,,Navio
Языки программирования и технические стеки,,MAGNIT TECH
Порефлексируем о Spring AOT,,MAGNIT TECH
💻 Воркшоп «Пишем простую браузерную игру на Rust»,,Независимый консультант
Технологический стек Flowwow: что скрывается под капотом маркетплейса,,Flowwow
"Диагностика под нагрузкой: .NET, Java и Go на практике",,«Лаборатория Касперского»
От Protobuf к FlatBuffers: двухкратное ускорение сервиса с правильной сериализацией,,Островок!
Хайлоад на ровном месте,,Axiom JDK
Beyond the OOM: Decoding Java Memory Behavior,,Spring Aio
Perforator: всеядный распределенный профилировщик,,Яндекс
Деньги или скорость? Экономика выбора: Python vs Java vs Go при разных RPS,,"MTС Web Services (KION, MWS)"
Интернет вещей (IoT),,Систем ИКС
"DIY-подход к цифровизации предприятий с помощью готовых решений: как мы реализовали гибкую IoT- и МТОИР-платформу для сбора, реакции и анализа событий",,Систем ИКС
Высокопроизводительные вычисления,,Скала^р (Группа Rubytech)
Оценка возможностей GPU Moore Threads в составе программно-аппаратных комплексов для искусственного интеллекта,,Скала^р (Группа Rubytech)
50 оттенков Transactional Outbox,,"DevBrothers, Т-Банк"
Как понимание работы RAM ускорило на 30% пакетный шлюз 4G/5G-сетей и позволило обрабатывать 4M пакетов в секунду на одном ядре и 100 Gbps на NUMA node,,Протей-Лаб
"Поймай меня, если сможешь: эффективный поиск региона, к которому принадлежит точка",,Wildberries & Russ
Технологии будущего и специализированные темы,,Voxys
Двигательные установки космических аппаратов,,Voxys
Как устроена система восприятия робота-доставщика Яндекса,,Яндекс
Воркшоп «Прием данных с космических аппаратов без специализированного оборудования»,,ООО «Геоскан»
DMTF RedFish как протокол управления ЦОД,,Прегель
Цифровой рубль в России: настоящее и будущее,,Т-Банк
DevOps-практики и культура,,Райффайзен Банк
Инженерные практики в действии!,,Райффайзен Банк
ICQ мертв. Да здравствует ICQ!,,"VK Tech, VK WorkSpace"
Доклады вне привычной рамки,,"Независимый эксперт, ментор CTO (Apazidi IT)"
"Как масштабировать не только IT-системы, но и IT-команды",,"Независимый эксперт, ментор CTO (Apazidi IT)"
"Разгоняем электричку, или Что помогает совершать обмены за 200 миллисекунд между сотнями ГИСов",,РТК-СОФТ
"Не тушите пожары, стройте систему: управление техдолгом в гармонии с бизнесом",,"Независимый эксперт, exCTO VK Cloud, exCTO Kion"
ИИ расшифровывает код мозга: от реального синапса до цифрового двойника нейрона (и при чем тут мыши с микроскопами на голове?),,СПб политехнический университет Петра Великого
CокрAIти.It,,Технологии Доверия (ex PWC)
Нетворкинг для технических лидеров,,Образовательное бюро «Розетка»
Под капотом скоринга: как на самом деле модели кредитного риска принимают решения,,Alif
"Контактный центр без мифов: архитектура, проблемы, планы",,МТС Web Services (MWS)
Fail-митап,,Altenar
Стратегия масштабирования команд,,Альфа-Банк
"Мастер-класс «Как повторять чужие кейсы, не повторяя их, или Как решать свои сложные и тяжелые задачи»",,Ингосстрах
Технологии от партнеров,,РЕД СОФТ
РЕД АДМ – система централизованного управления IT-инфраструктурой,,РЕД СОФТ
OpenIDE: свобода разработки без рисков и ограничений,,OpenIDE
"DevOps уже не тот, BPM Ops — ускоренная доставка приложений бизнесу!",,Хоулмонт
Платформа Tantor: новые горизонты управления PostgreSQL,,Компания «Тантор Лабс»
Как построить облачную инфраструктуру с нуля?,,SIPKI Technologies
Новый подход к управлению масштабной IT-инфраструктурой,,Прегель
Облачная платформа NGENIX для защиты и ускорения веб-приложений,,NGENIX
Инфраструктура для ML,,Selectel
HighLoad++ Specials,,Онтико
Open-Source-трибуна,,Онтико
"А что будет, если выгрузить все доклады HighLoad++ в GPT? Презентация продуктов Технологического университета от команды Онтико",,Онтико
"Открытая встреча разработчиков и Максута Игоревича Шадаева, министра цифрового развития, связи и массовых коммуникаций России",,"Министр цифрового развития, связи и массовых коммуникаций РФ"
Исследование состояния DevOps в России на 2025 год и пересечение с мировой индустрией,,Флант
Afterparty,,xStack
Клуб анонимных CTO: заседание второе,,xStack
Личное стратегическое планирование: как строить карьерные и жизненные планы с учетом изменений,,билайн
Саботеры правят ТЗ,,Независимый эксперт
Резюме глазами HR,,-
TechTalk,,Navio
Эволюция Quality Gates: контроль качества для Self-Driving-системы,,Navio
Биометрия — новый формфактор платежей. Межбанковская платформа биометрических сервисов НСПК,,Мир Plat.Form (НСПК)
"Как мы мигрируем со Spark на Polars, обрабатывая сотни ТБ в сутки",,Navio
Универсальный QR-код: как это устроено?,,Мир Plat.Form (НСПК)
Резерв,,Скала^р (продукт Группы Rubytech)
Использование современных сетей и железа для deep learn,,Скала^р (продукт Группы Rubytech)
МТС Cashback под микроскопом: как системный анализ спасает продукт,,МТС Web Services (MWS)
SRE-трансформация в SmallTech: эволюция от хаоса инцидентов к автоматизированной наблюдаемости и предсказуемым SLA,,Петрович-Тех
Как LLM-мультиагенты меняют науку (и не только),,ИТМО
"MongoDB как единственное хранилище. Использование, проблемы, боль и последствия",,K2 Cloud
Безопасность веб-приложения во внешнем и внутреннем контуре,,МТС Web Services (MWS)
"Школьный код в высоконагруженной системе: какие уроки мы выучили, проводя олимпиады по программированию",,Инфиннити
Другое,,Ontico
Бэкстейдж трансляция HighLoad++,,Ontico
Быть в курсе обновлений программы,,
"Иметь ранний доступ к расшифровкам, видео и другим полезным материалам.",,
Есть вопросы — обращайтесь:,,"Орг. комитет: org@ontico.ru
Партнерство: partners@ontico.ru
Программный комитет: speakers@ontico.ru
Инфопартнерство: marketing@ontico.team
Поддержка и вопросы оплаты: +7 (495) 646-07-68, support@ontico.ru, @ontico_support"
Мы используем файлы cookie,,"Сайт использует файлы cookie для эффективной работы. Продолжая использование сайта, вы соглашаетесь с использованием файлов cookie. Узнать подробнее."
